id,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
785,millet puffed,74,0.7,0.1,0.2,0.4,16.8,0.1,2.7,0.6,0,76,0.5,0,72,44,0,99,0.9,0,80,0,0,0.1,29,1.7,0.1,0.6,22.3,0,55.9,8.4,84,0.3,23.1
786,oat bran raw,23,0.5,77,0.2,0.2,4.9,0.1,1.3,1.2,0,36,32.4,0,0.5,91,0,60,84,17,0,0,5.6,44,0.4,18,51.6,40,0.2,0.0,0.0,0.0,0.0,0.0,65.9
787,popcorn oil popped,64,4.8,0.8,1.1,2.6,5,27,0.8,0.9,0,18,0.1,0,74,52,0,99,0.1,100,67,86,0,0.3,80,0.4,62,0.2,8.7,51,21.9,20,30,0.3,12109
788,kamut cooked,251,1.6,0,0,0,52.4,0,11.1,6.7,0,38,105.6,0,0.2,17,0,60,4.7,0,0.1,0,0,0,0,17.2,0.4,3.5,96.3,2.1,304.4,347.4,58,3,92.5
789,wheat bran,125,2.5,0.4,0.4,1.3,37.4,0.2,9,24.8,0,15,5.7,0,0.3,5,0,0.3,7.9,1.3,0.8,0,0,0.9,10,42.3,0.6,6.1,354.4,6.7,587.5,685.6,66,4.2,122.1
790,cheese popcorn,58,3.7,0.7,1.1,1.7,5.7,0,1,1.1,1.2,2,0.3,90,9,60,76,17,0.2,89,15,74,0,0,0,12.4,44,0.2,10,97,39.7,28.7,96,0.2,24284
791,raisin bran crunch kelloggs,90,0.5,0,0,0,21.2,9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6
792,couscous cooked,176,0.3,91,63,0.1,36.5,0.2,6,2.2,0,54,113.9,0,26,87,0,92,1.5,0.6,58,0,0,0.2,46,12.6,65,0.6,12.6,0.1,34.5,91.1,10,0.4,58.2
793,multigrain cheerios general mills,4,5,0,80,95,1,0.2,38,0.1,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1248
794,bulgur cooked,151,0.4,53,83,0.2,33.8,0.2,5.6,8.2,0,49,141.5,0,0.1,22,0,17,1.8,0.6,0.2,0,0,51,93,18.2,0.1,1.7,58.2,1.1,72.8,123.8,26,1,67.9
795,popcorn air popped,31,0.4,11,14,0.2,6.2,86,1,1.2,0,16,0.3,0,31,99,0,92,0.2,97,57,0,0,97,71,0.6,20,0.3,11.5,92,28.6,26.3,0,0.2,9.7
796,teff raw,708,4.6,0.9,1.1,2.1,141.1,3.6,25.7,15.4,0,53,17,0,0.8,0,0,0.5,6.5,1.8,0.9,0,0,0.2,30,347.4,1.6,14.7,355.1,17.8,828,824.1,38,7,548.9
797,spelt cooked,246,1.6,0,0,0,51.3,0,10.7,7.6,0,41,129.1,0,0.2,66,0,87,5,0,0.2,0,0,0.5,0,19.4,0.4,3.2,95.1,2.1,291,277.4,42,2.4,93.8
798,millet raw,756,8.4,1.4,1.5,4.3,145.7,0,22,17,0,13,17.3,0,0.8,0.2,0,0.6,9.4,1.7,0.8,0,0,0.1,27,16,1.5,6,228,3.3,570,390,0,3.4,215.1
799,popcorn unpopped,106,1.2,0.2,0.3,0.7,20.9,0.3,3.1,3.6,0,1,3,0,87,1,0,51,0.5,0.1,54,0,0,26,0,1.4,42,0.9,34.8,0.3,84.6,77.5,0,0.8,31.1
800,whole wheat cooked,150,1,0.1,0.1,0.5,33.2,0.2,4.8,3.9,0,0.6,202.3,0,0.2,85,0,0.1,2.2,0.4,0.2,0,0,0.6,56,16.9,0.2,1.5,53.2,1.4,167,171.8,25,1.2,61.3
801,wheat sprouted,214,1.4,0.2,0.2,0.6,45.9,0,8.1,1.2,0,26,51.6,0,0.2,23,0,0.2,3.3,1,0.3,2.8,0,0,0,30.2,0.3,2.3,88.6,2,216,182.5,4,1.8,91.9
802,whole wheat dry,96,0.6,31,95,0.3,21.1,0.1,3.1,2.7,0,36,2.8,0,0.1,53,0,87,1.4,0.3,0.1,0,0,0.4,92,11.2,0.1,0.9,34.2,0.9,106.1,108.9,31,0.7,39.6
803,caramel popcorn,122,3.6,1,0.8,1.3,22.4,15.1,1.1,1.5,1.4,69,0.8,66,44,79,0,86,0.6,18,52,0,0,0.3,94,12.2,54,0.5,9.9,100,23.5,30.8,67,0.2,41396
804,wheat puffed,44,0.1,25,0,0,9.6,0,1.8,0.5,0,30,0.4,0,0.3,92,0,0.2,4.2,92,41,0,0,0,0,3.4,86,3.8,17.4,0.2,42.6,41.8,84,0.3,19.2
805,roggenmischbrot sonnenblumenkerne aldi,82,3.1,9.9,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1
806,wheat germ,112,3,0.5,0.4,1.9,16.1,0,7.2,4.1,0,37,3.4,0,0.6,87,0,0.2,2.1,0.7,0.4,0,0,0,0,12.1,0.2,1.9,74.1,4.1,261,276.5,56,3.8,44.4
807,microwave popcorn,465,26.3,12.7,9.2,3.6,49.8,0.3,7.3,8.7,0,0.6,0.8,0.7,72,73,34,0,73,1.4,0.2,0.3,0,0,2.5,52,20,0.2,1.8,95.7,0.7,239.3,341.9,4,93352
808,millet cooked,207,1.7,0.3,0.3,0.9,41.2,0.2,6.1,2.3,0,46,124.3,0,0.2,88,0,0.1,2.3,0.3,0.2,0,0,19,21,5.2,0.3,1.1,76.6,0.5,174,107.9,94,1.6,57.6
809,kamut raw,627,4.1,0.4,0.4,1.1,130.9,15.2,27.3,16.9,0,12,20.4,35,0,1.1,0,0,0.3,11.8,1.7,0.5,0,0,1.1,43,44.6,1,8.2,249.2,5.3,718,829.6,0.1,180788
810,wheat durum,651,4.7,0.9,0.7,1.9,136.6,0,26.3,0,0,32,21,0,0.8,54,0,0.2,12.9,1.8,0.8,0,0,0,0,65.3,1.1,6.8,276.5,5.8,975.4,827.5,0.2,8,239.7
811,sorghum,651,6.3,0.9,1.9,2.6,143.3,0,21.7,12.1,0,45,17.7,0,0.5,0,0,0.3,5.6,0,0,0,0,0,0,53.8,0,8.4,0,0,551,672,0,0,245.6
812,white wheat,657,3.3,0.5,0.4,1.4,145.7,0.8,21.7,23.4,0,94,18.4,0,0.7,58,0,0.2,8.4,1.8,0.7,0,0,1.9,89,61.4,0.7,8.8,178.6,7.3,681.6,829.4,0,6.4,264.3
